host_response_time;host_response_rate;host_is_superhost;host_listings_count;street;neighbourhood;neighbourhood_cleansed;;;;;;;neighbourhood_group_cleansed;city;state;zipcode;market;smart_location;country_code;country;latitude;longitude;is_location_exact;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;square_feet;price;weekly_price;monthly_price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;calendar_last_scraped;number_of_reviews;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;requires_license;license;jurisdiction_names;instant_bookable;is_business_travel_ready;cancellation_policy;require_guest_profile_picture;require_guest_phone_verification;calculated_host_listings_count;reviews_per_month;ano;mes;minimum_minimum_nights;maximum_minimum_nights;minimum_maximum_nights;maximum_maximum_nights;minimum_nights_avg_ntm;maximum_nights_avg_ntm;number_of_reviews_ltm;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms
;;f;1.0;Rio de Janeiro, RJ, Brazil;Botafogo;Botafogo;;;;;;;;Rio de Janeiro;RJ;22250-040;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.946.854.109.114.200;-43.182.737.237.144.500;t;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;"{TV,Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace""}";;$133.00;$823.00;$2,698.00;$1,025.00;$102.00;2;$34.00;60;365;7 weeks ago;t;28;58;88;363;14/04/2018;38;03/01/2010;04/03/2018;91.0;9.0;9.0;9.0;9.0;9.0;9.0;f;;;f;f;strict_14_with_grace_period;f;f;1;0.38;2018;4;;;;;;;;;;
within an hour;100%;t;2.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22020-050;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.296.591.903.141.140;-4.317.896.230.586.560;t;Condominium;Entire home/apt;5;1.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Hot tub"",""Family/kid friendly"",""Suitable for events"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Hot water"",""Bed linens"",""Luggage dropoff allowed""}";;$270.00;;;$0.00;$273.00;2;$51.00;4;90;yesterday;t;11;29;58;286;14/04/2018;205;15/07/2010;10/04/2018;93.0;10.0;9.0;10.0;10.0;9.0;9.0;f;;;t;f;strict;f;f;1;2.17;2018;4;;;;;;;;;;
within an hour;100%;f;1.0;Rio de Janeiro, Rio de Janeiro, Brazil;Ipanema;Ipanema;;;;;;;;Rio de Janeiro;Rio de Janeiro;22411-010;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-229.856.978.888.963;-4.320.193.477.968.930;t;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Beach essentials""}";;$222.00;;;$851.00;$211.00;2;$215.00;3;90;5 weeks ago;t;0;0;0;0;14/04/2018;85;26/09/2010;14/02/2018;95.0;10.0;10.0;10.0;10.0;10.0;9.0;f;;;f;f;strict;f;f;1;0.92;2018;4;;;;;;;;;;
within an hour;100%;f;3.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22060-020;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.977.116.804.101.800;-4.319.045.414.722.080;t;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";;$161.00;;;$1,000.00;$220.00;2;$45.00;4;30;today;t;28;58;88;363;14/04/2018;208;07/06/2010;28/03/2018;94.0;9.0;10.0;10.0;10.0;10.0;9.0;f;;;f;f;strict;t;t;3;2.17;2018;4;;;;;;;;;;
within an hour;100%;t;1.0;Rio de Janeiro, RJ, Brazil;Ipanema;Ipanema;;;;;;;;Rio de Janeiro;RJ;22410-003;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.298.302.369.705.460;-4.321.427.004.586.680;t;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";;$222.00;;;;$85.00;2;$68.00;2;1125;5 weeks ago;t;15;45;75;345;14/04/2018;200;11/07/2010;01/04/2018;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;;;t;f;strict;f;f;1;2.12;2018;4;;;;;;;;;;
within an hour;100%;t;1.0;Rio de Janeiro, Rio de Janeiro, Brazil;Ipanema;Ipanema;;;;;;;;Rio de Janeiro;Rio de Janeiro;22081-020;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.988.164.695.838.600;-431.935.877.232.457;t;Apartment;Entire home/apt;3;1.5;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Cleaning before checkout""}";;$308.00;;$7,876.00;$856.00;$158.00;2;$86.00;2;89;2 days ago;t;6;14;39;129;15/04/2018;116;22/10/2013;20/03/2018;94.0;10.0;9.0;10.0;10.0;10.0;9.0;f;;;f;f;strict;t;t;1;2.13;2018;4;;;;;;;;;;
within an hour;100%;t;1.0;Rio de Janeiro, RJ, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;RJ;21031-300;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.981.268.983.403.900;-4.319.045.722.266.820;t;Loft;Entire home/apt;2;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Front desk/doorperson"",""Room-darkening shades"",""Hot water"",""Luggage dropoff allowed"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Bathtub with bath chair"",""Wide entryway"",Beachfront}";0.0;$219.00;$1,500.00;;$400.00;$140.00;2;$80.00;3;30;today;t;11;28;50;219;14/04/2018;255;03/10/2010;04/04/2018;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;;;t;f;strict;f;t;1;2.78;2018;4;;;;;;;;;;
within a day;50%;f;1.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22031-112;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.296.680.789.927.560;-4.318.657.351.368.080;t;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{Internet,Wifi,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""24-hour check-in"",Iron}";;$150.00;$600.00;$2,000.00;;$150.00;1;$150.00;4;60;21 months ago;t;29;59;89;89;14/04/2018;1;25/06/2012;25/06/2012;;;;;;;;f;;;f;f;moderate;f;f;1;0.01;2018;4;;;;;;;;;;
within a few hours;100%;f;3.0;Rio de Janeiro, State of Rio de Janeiro, Brazil;Santa Teresa;Santa Teresa;;;;;;;;Rio de Janeiro;State of Rio de Janeiro;20241-250;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.921.990.204.401.300;-4.318.383.627.708.070;f;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;"{TV,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,Iron,""Laptop friendly workspace""}";323.0;$120.00;$1,912.00;$6,113.00;$2,049.00;$512.00;1;$0.00;3;730;7 weeks ago;t;30;60;90;365;14/04/2018;1;31/01/2016;31/01/2016;80.0;6.0;4.0;8.0;6.0;6.0;4.0;f;;;f;f;strict;f;f;3;0.04;2018;4;;;;;;;;;;
within an hour;94%;f;6.0;Rio de Janeiro, RJ, Brazil;Ipanema;Ipanema;;;;;;;;Rio de Janeiro;RJ;21072-540;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-229.863.327.988.552;-4.320.256.262.652.210;t;Apartment;Entire home/apt;14;7.0;6.0;7.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";;$3,241.00;;;$2,947.00;$421.00;7;$126.00;2;89;today;t;14;30;60;325;14/04/2018;33;02/03/2011;28/10/2017;87.0;9.0;9.0;9.0;8.0;10.0;8.0;f;;;t;f;strict;f;f;5;0.38;2018;4;;;;;;;;;;
